"","gbs","Name","geno","class","Type","c","N109","good.geno","good.pheno","good.photo","gps","HT","WD","HE","LT","BM","HM","HI","BS","BU","HC","HD","CL","RR","BR","HS","HU","HR","OQ","FC","MT","FF","F50","MF50","Name","Source","PI","Release.Collection","maturity","Lat","Long","Calabrese.F1","Violet.Caul","Calabrese.LR","Sprouting.Broccoli","subpop","groupCol","PC1","PC2","PC3","PC4","PC5"
"25","B013_HKT721_A7_Lieutenant_F1","B013.Lieutenant","B013","italica","F1",",","y","y","n","y","n",46.228,52.578,3,2,425,112,26.3529411764706,1,2,4,83.8,39.9,20.1,5,2,3,3,3,0,109,127,131,22,"Lieutenant","Seminis/Vanden Bosch/Royal Sluis","",2011,"early",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",16.955824,-5.2196856,7.5745726,2.0262382,0.124280564
"26","B013_HKT721_A7_Lieutenant_F1","B013.Lieutenant","B013","italica","F1",",","y","y","n","y","n",39.37,43.942,3,0,576.5,137,23.7640936686904,1.48,3,5,71.9,38.1,14.7,5,3,3,4,3,0,105,129,131,26,"Lieutenant","Seminis/Vanden Bosch/Royal Sluis","",2011,"early",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",16.955824,-5.2196856,7.5745726,2.0262382,0.124280564
"27","B013_HKT721_A7_Lieutenant_F1","B013.Lieutenant","B013","italica","F1",",","y","y","n","y","n",31.242,81.788,2,3,661.6,125.9,19.0296251511487,1.72,2,4,57.2,36.1,21.7,4,2,3,3,3,0,106,125,127,21,"Lieutenant","Seminis/Vanden Bosch/Royal Sluis","",2011,"early",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",16.955824,-5.2196856,7.5745726,2.0262382,0.124280564
"28","B013_HKT721_A7_Lieutenant_F1","B013.Lieutenant","B013","italica","F1",",","y","y","n","y","n",38.608,75.946,3,0,428.4,114.1,26.6339869281046,1.12,4,4,75,33.3,18.8,5,3,4,4,4,0,100,111,115,15,"Lieutenant","Seminis/Vanden Bosch/Royal Sluis","",2011,"early",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",16.955824,-5.2196856,7.5745726,2.0262382,0.124280564
"29","B013_HKT721_A7_Lieutenant_F1","B013.Lieutenant","B013","italica","F1",",","y","y","n","y","n",38.608,74.676,3,0,494.8,141.6,28.6176232821342,1.62,4,4,79.7,42.9,25.8,5,4,5,5,4,0,96,106,109,13,"Lieutenant","Seminis/Vanden Bosch/Royal Sluis","",2011,"early",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",16.955824,-5.2196856,7.5745726,2.0262382,0.124280564
"30","B013_HKT721_A7_Lieutenant_F1","B013.Lieutenant","B013","italica","F1",",","y","y","n","y","n",37.846,83.566,2,0,662.9,205.3,30.969980389199,1.82,3,4,93.2,52.8,37.3,5,3,3,5,4,0,96,108,113,17,"Lieutenant","Seminis/Vanden Bosch/Royal Sluis","",2011,"early",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",16.955824,-5.2196856,7.5745726,2.0262382,0.124280564
"31","B014_HKT721_A8_Green_Magic_F1","B014.Green.Magic","B014","italica","F1",",","y","y","y","y","n",40.386,75.692,3,0,590,150.8,25.5593220338983,1.6,4,5,93,42.7,25.4,4,3,4,4,4,0,102,120,125,23,"Green Magic","Sakata","",2004,"mid-early",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",14.82558,-7.0289664,7.2089815,4.219063,0.46879265
"32","B014_HKT721_A8_Green_Magic_F1","B014.Green.Magic","B014","italica","F1",",","y","y","y","y","n",37.338,66.802,3,0,564.4,134.5,23.830616583983,1.48,2,5,76,37.7,26,4,2,3,3,3,0,101,114,124,23,"Green Magic","Sakata","",2004,"mid-early",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",14.82558,-7.0289664,7.2089815,4.219063,0.46879265
"33","B014_HKT721_A8_Green_Magic_F1","B014.Green.Magic","B014","italica","F1",",","y","y","y","y","n",39.624,77.216,3,5,596.4,129.1,21.6465459423206,1.76,2,5,71.4,27.7,17.8,4,2,3,3,3,0,108,128,131,23,"Green Magic","Sakata","",2004,"mid-early",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",14.82558,-7.0289664,7.2089815,4.219063,0.46879265
"34","B014_HKT721_A8_Green_Magic_F1","B014.Green.Magic","B014","italica","F1",",","y","y","y","y","n",40.132,83.566,3,10,658.7,176.8,26.8407469257629,1.36,4,4,77,40,23.1,2,3,4,5,4,0,100,116,119,19,"Green Magic","Sakata","",2004,"mid-early",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",14.82558,-7.0289664,7.2089815,4.219063,0.46879265
"35","B014_HKT721_A8_Green_Magic_F1","B014.Green.Magic","B014","italica","F1",",","y","y","y","y","n",40.132,77.724,3,10,532.6,139.7,26.2298159969959,1.44,3,4,69.6,35,19.9,5,2,3,4,3,0,97,113,119,22,"Green Magic","Sakata","",2004,"mid-early",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",14.82558,-7.0289664,7.2089815,4.219063,0.46879265
"36","B014_HKT721_A8_Green_Magic_F1","B014.Green.Magic","B014","italica","F1",",","y","y","y","y","n",39.37,72.39,2,5,581.9,131.1,22.5296442687747,1.84,3,4,57.7,31.4,15.8,5,3,3,4,3,0,95,114,116,21,"Green Magic","Sakata","",2004,"mid-early",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",14.82558,-7.0289664,7.2089815,4.219063,0.46879265
"37","B015_HKT723_F1_Brogan_F1","B015.Brogan","B015","italica","F1",",","y","y","y","y","n",56.896,60.198,4,19,659.5,128.4,19.4692949203942,1.12,4,5,74.3,41.5,16.9,5,2,2,3,2,0,138,147,169,31,"Brogan","Bejo","",1997,"mid",NA,NA,0.999975,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",15.54888,-6.3031406,8.239679,7.2617164,-5.5376782
"38","B015_HKT723_F1_Brogan_F1","B015.Brogan","B015","italica","F1",",","y","y","y","y","n",55.118,72.136,4,8,703.7,138,19.6106295296291,1.62,2,5,89.3,45.4,25.1,5,2,2,3,2,0,117,131,142,25,"Brogan","Bejo","",1997,"mid",NA,NA,0.999975,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",15.54888,-6.3031406,8.239679,7.2617164,-5.5376782
"39","B015_HKT723_F1_Brogan_F1","B015.Brogan","B015","italica","F1",",","y","y","y","y","n",49.53,67.31,3,11,927.8,108.4,11.6835524897607,1.38,2,4,73.4,34.7,15.1,4,1,1,1,1,0,130,147,161,31,"Brogan","Bejo","",1997,"mid",NA,NA,0.999975,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",15.54888,-6.3031406,8.239679,7.2617164,-5.5376782
"40","B015_HKT723_F1_Brogan_F1","B015.Brogan","B015","italica","F1",",","y","y","y","y","n",52.832,72.898,4,9,818.9,123.8,15.1178410062279,1.66,1,5,79,44,22.2,4,2,1,1,1,0,123,133,137,14,"Brogan","Bejo","",1997,"mid",NA,NA,0.999975,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",15.54888,-6.3031406,8.239679,7.2617164,-5.5376782
"41","B015_HKT723_F1_Brogan_F1","B015.Brogan","B015","italica","F1",",","y","y","y","y","n",44.45,70.866,4,11,890.3,134.4,15.0960350443671,1.2,4,5,81.1,41.9,24,5,2,3,3,3,0,112,131,140,28,"Brogan","Bejo","",1997,"mid",NA,NA,0.999975,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",15.54888,-6.3031406,8.239679,7.2617164,-5.5376782
"42","B015_HKT723_F1_Brogan_F1","B015.Brogan","B015","italica","F1",",","y","y","y","y","n",43.434,85.852,3,10,1145.7,183.8,16.0425940473073,1.34,4,5,79.5,47.1,33.9,5,4,3,4,3,0,112,128,140,28,"Brogan","Bejo","",1997,"mid",NA,NA,0.999975,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",15.54888,-6.3031406,8.239679,7.2617164,-5.5376782
"43","B016_HKT723_E6_Green_Harmony_F1","B016.Green.Harmony","B016","unk","F1",",","y","y","y","y","n",21.082,44.196,3,4,184.3,NA,NA,NA,3,3,63,34.7,4.8,5,3,3,NA,1,0,72,52,74,2,"Green Harmony","Known You","",1991,"early",NA,NA,0.73181,0.268174,8e-06,8e-06,"Calabrese.F1","#1b9e77",0.29272443,-6.5816483,-0.9979526,-9.699485,10.568857
"44","B016_HKT723_E6_Green_Harmony_F1","B016.Green.Harmony","B016","unk","F1",",","y","y","y","y","n",NA,NA,3,4,168,NA,NA,0.98,3,3,99.7,61.6,11.4,5,2,3,NA,1,0,72,60,75,3,"Green Harmony","Known You","",1991,"early",NA,NA,0.73181,0.268174,8e-06,8e-06,"Calabrese.F1","#1b9e77",0.29272443,-6.5816483,-0.9979526,-9.699485,10.568857
"45","B016_HKT723_E6_Green_Harmony_F1","B016.Green.Harmony","B016","unk","F1",",","y","y","y","y","n",19.05,35.052,3,1,62.1,NA,NA,1.94,2,3,43.4,23.9,5.6,5,3,2,NA,1,0,72,60,72,NA,"Green Harmony","Known You","",1991,"early",NA,NA,0.73181,0.268174,8e-06,8e-06,"Calabrese.F1","#1b9e77",0.29272443,-6.5816483,-0.9979526,-9.699485,10.568857
