trial,geno,rep,unique,sc,MT,FF,F50,MF50,HT,WD,BM,LT,HM,HI,HD,CL,RR,BS,BR,BU,HC,HE,HS,HU,HR,OQ,FC,note.geno,note.plot
2,B131,3,B131_row-32_rep-3_E,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,irregular heading and flowering,irregular maturity. one early flowering 
0,B132,1,E04_row-1_rep-GBS1_E,4,89,101,105,16,80.264,66.04,625.6,16,75.9,12.1323529411765,39.5,18.5,14.1,1.9,1,3,1,4,0,1,1,1,0,irregular heading and flowering, extreme lats
1,B132,1,B132_row-6_rep-1_W,10,126,137,141,15,64.516,91.948,1181.4,12,112.7,9.53952937193161,63.4,23.6,32.8,2.02,2,1,2,4,2,1,1,1,0,irregular heading and flowering, extreme lats
1,B132,2,B132_row-9_rep-2_W,10,123,127,142,19,56.896,60.96,326.5,1,36.6,11.2098009188361,36.9,17.3,16.2,2.38,3,3,3,4,3,3,3,2,0,irregular heading and flowering, extreme lats
1,B132,3,B132_row-14_rep-3_E,10,126,141,169,43,63.754,81.026,370.7,8,45.5,12.2740760722957,50,23.8,20.3,1.94,3,1,1,4,2,1,3,1,0,irregular heading and flowering," extreme lats,irregular heading and flowering  "
2,B132,1,B132_row-22_rep-1_W,9,111,123,158,47,58.42,81.534,808.6,16,69.6,8.60746970071729,47.4,21.9,19.1,1.6,3,3,3,4,4,2,3,2,0,irregular heading and flowering," extreme lats,extreme lats, irregular heading and flowering, 50 headed on oct 29th"
2,B132,2,B132_row-24_rep-2_E,10,121,NA,NA,NA,74.422,64.262,594.6,17,30.1,5.06222670702994,35.1,15.8,13.2,1.78,5,3,2,5,3,3,4,2,NA,irregular heading and flowering, extreme lats
2,B132,3,B132_row-32_rep-3_E,9,129,135,151,22,60.452,94.488,1616.2,11,170.7,10.5618116569731,78.6,45.1,15.5,1.2,4,3,4,5,3,2,3,2,0,irregular heading and flowering," extreme lats,irregular heading and flowering  "
0,B133,1,E05_row-1_rep-GBS1_E,3,116,127,135,19,63.5,58.674,671.2,17,62.4,9.29678188319428,27.4,9.6,7.1,1.14,3,3,2,4,2,2,2,1,0,irregular heading and flowering, extreme lats
1,B133,1,B133_row-6_rep-1_W,7,119,152,161,42,71.12,57.15,599.4,3,66.3,11.0610610610611,45.2,21.9,17.7,1.46,2,2,4,4,2,2,2,1,0,irregular heading and flowering," extreme lats,late flowering  "
1,B133,2,B133_row-12_rep-2_E,7,134,129,148,14,58.674,61.214,264.5,8,41,15.5009451795841,40.9,15.2,13,2.44,3,1,2,3,2,2,2,2,0,irregular heading and flowering, extreme lats
1,B133,3,B133_row-18_rep-3_W,1,111,129,153,42,40.386,55.372,383.1,8,75.6,19.7337509788567,56.4,32,20.3,1.72,3,4,4,3,3,3,3,2,0,irregular heading and flowering, extreme lats
2,B133,1,B133_row-22_rep-1_W,9,114,126,160,46,54.102,71.882,524.6,9,79.4,15.1353412123523,34,16.4,8.2,0.82,2,3,4,4,2,1,2,2,0,irregular heading and flowering," extreme lats,irregular heading and flowering. half heading on Oct 29th "
2,B133,2,B133_row-23_rep-2_E,9,116,132,157,41,62.992,77.47,653.6,17,59.5,9.10342717258262,42.7,18.8,10.3,1.12,3,4,2,4,2,2,3,2,0,irregular heading and flowering," extreme lats,irregular heading and flowering  "
2,B133,3,B133_row-31_rep-3_E,10,135,119,152,17,40.386,79.756,921.5,2,162.7,17.6559956592512,61.3,33,12.5,1.5,3,3,4,4,2,2,2,1,0,irregular heading and flowering," extreme lats,extreme lats, irregular heading and flowering. one early flowering.  "
0,B134,1,E06_row-1_rep-GBS1_E,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no notes,
1,B134,1,B134_row-6_rep-1_W,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no notes,
1,B134,2,B134_row-9_rep-2_W,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no notes,
1,B134,3,B134_row-18_rep-3_W,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no notes,
2,B134,1,B134_row-22_rep-1_W,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no notes,
2,B134,2,B134_row-24_rep-2_E,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no notes,
2,B134,3,B134_row-29_rep-3_W,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no notes,
0,B135,1,E07_row-1_rep-GBS1_E,4,110,119,122,12,65.786,87.884,821.9,3,92.3,11.2300766516608,49.3,20.5,20.3,2.02,4,3,3,5,4,2,4,3,1,some seed contamination,
1,B135,1,B135_row-6_rep-1_W,7,124,128,135,11,55.88,97.282,903.7,10,78.9,8.73077348677659,38.3,16.8,22.6,2.1,3,2,3,4,4,2,4,2,1,some seed contamination,contaminated non oleracea types
1,B135,2,B135_row-8_rep-2_E,5,123,131,140,17,69.85,79.502,534.5,4,80.5,15.0608044901777,61.2,25.8,26,2.24,2,2,2,5,5,2,3,2,1,some seed contamination,contaminated 
1,B135,3,B135_row-15_rep-3_E,6,139,148,174,35,44.958,77.216,322.8,0,39.5,12.2366790582404,36.7,12.3,16.8,1.54,3,4,3,5,5,3,4,2,1,some seed contamination,contaminated.  4/8
2,B135,1,B135_row-22_rep-1_W,4,116,135,145,29,59.182,83.312,676.9,0,76.6,11.3162948736889,47.5,18.6,18.4,2.18,4,3,3,5,5,3,3,2,1,some seed contamination,
2,B135,2,B135_row-23_rep-2_E,7,113,126,152,39,59.944,87.122,853.9,10,107,12.5307413046024,61.7,28,16.3,2.84,3,2,3,4,5,2,2,2,1,some seed contamination,
2,B135,3,B135_row-30_rep-3_W,6,109,121,146,37,54.356,102.362,495.5,0,66.6,13.4409687184662,51.9,28.2,27.1,1.92,4,3,3,4,5,3,3,2,1,some seed contamination,irregular heading and flowering 
0,B136,1,E08_row-1_rep-GBS1_E,5,75,86,92,17,58.42,74.93,401.6,13,33.4,8.31673306772908,46.3,25.3,18.2,2.24,5,3,3,4,3,3,4,3,0,extreme lats,extreme lats
1,B136,1,B136_row-6_rep-1_W,7,112,121,127,15,50.292,59.69,531.4,19,52.6,9.89838163342115,34.9,12.3,13.9,1.48,2,4,2,4,3,2,2,1,0,extreme lats,extreme lats
1,B136,2,B136_row-10_rep-2_W,5,96,112,117,21,51.308,74.422,812.1,18,74.6,9.18606082994705,61.7,28.3,15.6,1.77,2,2,3,3,2,1,1,1,0,extreme lats,EXTREME (TM) laterals
1,B136,3,B136_row-16_rep-3_E,5,110,112,144,34,56.388,71.882,553.8,12,37,6.68111231491513,29.8,16.9,11.1,2.14,2,4,3,4,3,2,3,2,0,extreme lats,
2,B136,1,B136_row-22_rep-1_W,7,109,113,118,9,53.34,74.422,515.9,12,57.8,11.2037216514828,41.6,18,11.5,1.74,3,4,2,3,2,3,3,2,0,extreme lats,
2,B136,2,B136_row-24_rep-2_E,9,98,109,113,15,60.96,68.072,534.8,0,52.1,9.74195961106956,53.2,23.6,17.1,2.48,5,3,1,4,2,2,3,2,0,extreme lats,
2,B136,3,B136_row-30_rep-3_W,9,100,101,119,19,72.644,74.168,400.1,2,46.3,11.5721069732567,56.2,20.7,14.3,2,5,2,1,4,3,2,4,2,0,extreme lats,"one white flowered at end, probably mistake looks like b120"
0,B137,1,E09_row-1_rep-GBS1_E,3,75,97,100,25,44.45,71.628,596.5,2,90.5,15.1718357082984,50.6,20.4,14.8,2.42,5,4,4,3,3,4,4,3,0,irregular heading and flowering,
1,B137,1,B137_row-6_rep-1_W,9,111,123,132,21,54.102,58.42,405.8,0,66.1,16.2888122227698,45.5,22.1,16.7,2.5,4,4,3,4,2,3,4,3,0,irregular heading and flowering,
1,B137,2,B137_row-14_rep-2_W,9,107,124,132,25,43.18,64.262,434.1,9,55.8,12.8541810642709,68.8,32.6,14.4,2.24,4,4,2,4,2,3,4,2,0,irregular heading and flowering,
1,B137,3,B137_row-15_rep-3_E,8,119,124,171,52,56.388,59.69,478.5,24,26.4,5.51724137931035,32.1,19.6,15,2.32,3,3,2,4,3,2,3,2,0,irregular heading and flowering,
2,B137,1,B137_row-22_rep-1_W,6,125,139,150,25,52.07,88.646,1057.5,5,174.6,16.5106382978723,82.1,38,22.5,1.48,5,3,5,3,3,2,4,2,0,irregular heading and flowering,slow? 
2,B137,2,B137_row-26_rep-2_W,7,148,113,158,10,51.562,52.324,205.6,0,24.4,11.8677042801556,28.7,11.8,11.4,1.84,5,4,3,4,4,4,5,4,0,irregular heading and flowering,irregular heading and flowering. contaminated?? 
2,B137,3,B137_row-29_rep-3_W,9,104,110,130,26,48.26,80.772,1132.9,5,217.5,19.19851708006,98.6,45,34.5,2.08,5,4,4,3,2,3,4,4,0,irregular heading and flowering,irregular heading and flowering 
0,B138,1,E10_row-1_rep-GBS1_E,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no notes,
0,B139,1,E11_row-1_rep-GBS1_E,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no notes,
0,B140,1,E12_row-1_rep-GBS1_E,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no notes,flowered in tray probably not oleracea
0,B141,1,F01_row-1_rep-GBS1_E,4,62,80,88,26,35.56,73.914,671.2,3,155.6,23.1823599523242,94.5,51.1,17.9,2.04,5,5,4,3,4,4,5,4,0,no notes,
1,B141,1,B141_row-6_rep-1_W,6,92,108,112,20,29.972,69.342,592.4,0,181.9,30.7056043214045,99.7,39.1,21.7,2.1,5,5,5,3,4,4,5,5,0,no notes,
1,B141,2,B141_row-14_rep-2_W,5,95,112,116,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,3,4,4,5,4,0,no notes,missed sampling head? 
1,B141,3,B141_row-13_rep-3_W,5,95,112,115,20,28.448,67.31,491.1,0,141.1,28.7314192628792,82.6,36.6,25.5,1.5,5,5,4,3,4,5,5,5,0,no notes,
2,B141,1,B141_row-22_rep-1_W,5,89,105,108,19,28.194,67.818,454.7,2,140,30.7895315592698,77.4,40.3,17.9,2.08,5,4,4,3,3,5,5,4,0,no notes,
2,B141,2,B141_row-25_rep-2_W,5,87,106,108,21,27.432,65.024,256.6,2,67.5,26.3055339049104,43.7,22.8,19.1,1.82,5,4,4,3,3,4,5,3,0,no notes,
2,B141,3,B141_row-29_rep-3_W,6,87,101,107,20,29.21,61.214,299.5,1,88.3,29.4824707846411,60.2,27.1,18,2.14,5,4,4,2,3,4,5,4,0,no notes,
0,B142,1,F02_row-1_rep-GBS1_E,5,69,106,110,41,36.576,61.468,508.7,5,106.7,20.9750344014154,68.8,32.3,20.8,1.58,5,5,4,4,3,4,5,4,0,no notes,
0,B142,1,G10_row-2_rep-GBS1_E,4,64,84,89,25,34.544,59.69,671.7,6,152,22.6291499181182,94.7,46.7,9.9,2.28,5,4,3,4,2,4,4,4,0,no notes,
1,B142,1,B142_row-5_rep-1_W,12,94,115,120,26,34.798,59.182,471.9,0,108.2,22.9285865649502,79.9,33.9,16.3,2.18,5,3,4,4,2,4,4,4,0,no notes,
1,B142,2,B142_row-12_rep-2_E,11,104,127,130,26,39.624,65.024,244.7,0,66.4,27.1352676747037,60,24.9,16.6,1.84,4,4,4,4,2,3,4,3,0,no notes,
1,B142,3,B142_row-13_rep-3_W,11,104,127,134,30,37.592,45.72,432.3,1,89.1,20.6106870229008,65.2,28.7,18.2,2.04,5,5,4,4,4,5,5,5,0,no notes,
2,B142,1,B142_row-21_rep-1_W,11,92,113,117,25,35.052,47.752,426.1,0,85.7,20.112649612767,76.8,29.9,25.5,2.22,5,4,4,4,3,4,5,4,0,no notes,
2,B142,2,B142_row-26_rep-2_W,11,83,102,109,26,38.608,56.642,431.1,2,84,19.4850382741823,65.5,30.4,17.2,1.9,5,5,3,3,2,4,5,3,0,no notes,
2,B142,3,B142_row-31_rep-3_E,6,89,108,125,36,39.878,49.53,383.9,0,84.8,22.0890856994009,67.9,30.6,19.8,1.96,5,5,4,3,3,4,5,4,0,no notes,
0,B143,1,F03_row-1_rep-GBS1_E,6,62,74,78,16,39.624,60.96,476.6,0,104.8,21.9890893831305,82.4,42.2,19,1.74,5,4,4,4,3,3,4,3,0,some early heading,
1,B143,1,B143_row-5_rep-1_W,5,92,115,120,28,35.306,55.88,586.1,0,135.8,23.1701074901894,100.7,56.6,21.7,1.52,5,4,4,3,5,4,5,5,0,some early heading,
1,B143,2,B143_row-11_rep-2_E,5,100,112,116,16,37.846,60.96,230.3,0,51.4,22.3187147199305,58,19.7,19.3,1.38,5,4,3,5,3,4,5,4,0,some early heading,
1,B143,3,B143_row-15_rep-3_E,9,95,114,125,30,35.56,74.422,283.8,0,69.2,24.3833685694151,65.3,27.2,17.8,1.48,5,4,4,3,4,4,4,4,0,some early heading,some very early heading 
2,B143,1,B143_row-21_rep-1_W,3,88,105,107,19,39.116,54.61,258.3,0,61.4,23.7708091366628,60.3,22.6,27,2.06,5,4,3,4,3,4,5,4,0,some early heading,
2,B143,2,B143_row-27_rep-2_E,4,87,105,112,25,41.91,53.848,207.1,0,47.3,22.8392081120232,49,23.9,16.8,2.1,5,4,3,4,4,5,5,4,0,some early heading,
2,B143,3,B143_row-31_rep-3_E,5,86,105,108,22,39.878,47.752,224,0,61.3,27.3660714285714,62.3,29.7,20.8,2.36,5,4,3,4,4,4,4,3,0,some early heading,
0,B144,1,F04_row-1_rep-GBS1_E,5,77,101,104,27,42.672,61.976,862.7,2,181.3,21.0154167149646,NA,31.8,9.6,1.5,4,3,5,2,2,3,4,4,0,no notes,
1,B144,1,B144_row-5_rep-1_W,10,107,127,136,29,37.084,39.116,591.5,0,124.1,20.9805579036348,69.4,29.7,13.7,1.48,5,4,5,3,2,3,4,3,0,no notes,
1,B144,2,B144_row-11_rep-2_E,12,119,139,143,24,35.052,48.514,394.6,1,100.1,25.3674607197162,58.5,30.7,18.2,0.96,5,4,5,3,2,3,4,3,0,no notes,
1,B144,3,B144_row-14_rep-3_E,10,113,124,130,17,39.37,39.624,548.3,2,141.2,25.7523253693234,66.1,37.3,15,0.98,4,3,5,3,2,3,4,3,0,no notes,
2,B144,1,B144_row-21_rep-1_W,11,105,120,122,17,35.814,41.402,517.6,0,186.2,35.9737248840804,89.6,41.2,21,1.36,5,3,5,3,2,5,4,4,0,no notes,
2,B144,2,B144_row-28_rep-2_E,12,101,115,122,21,37.592,45.974,653,1,171.4,26.2480857580398,78.2,44.2,30.6,1.3,5,4,5,3,2,4,4,4,0,no notes,
2,B144,3,B144_row-31_rep-3_E,12,106,122,130,24,39.116,73.66,550.9,0,169.2,30.7133781085496,89.9,54.1,16.1,1.56,5,4,4,4,3,2,3,3,0,no notes,
0,B145,1,G06_row-1_rep-GBS1_E,3,70,97,101,31,39.37,69.088,676.6,0,141.6,20.9281702630801,81.9,30.9,25.7,1.58,5,3,4,3,2,4,4,3,0,no notes,
0,B146,1,F06_row-1_rep-GBS1_E,4,72,96,97,25,40.132,54.61,736.6,0,135.2,18.3546022264458,91.6,38.1,17.2,1.76,5,4,4,3,2,3,4,3,0,no notes,
1,B146,1,B146_row-5_rep-1_W,10,97,123,127,30,43.688,67.818,856,1,175.8,20.5373831775701,87.5,37.9,22,1.12,4,3,3,3,2,2,3,2,0,no notes,
1,B146,2,B146_row-10_rep-2_W,10,103,124,127,24,38.862,64.008,529.8,1,101.4,19.1392978482446,78.2,38.6,20.3,1.16,5,4,4,3,2,4,4,3,0,no notes,
1,B146,3,B146_row-16_rep-3_E,12,105,115,127,22,39.37,72.644,871.7,0,206.3,23.6663989904784,110.4,49.8,23.1,1.3,4,3,4,3,2,3,3,3,0,no notes,
2,B146,1,B146_row-21_rep-1_W,10,96,107,117,21,38.1,72.644,449.5,1,111.6,24.8275862068966,61.3,22.8,21.6,1.6,5,4,5,3,3,4,5,4,0,no notes,
2,B146,2,B146_row-28_rep-2_E,10,95,109,112,17,32.512,71.12,683.7,0,147,21.5006581834138,64.7,27.4,23.4,1.76,5,4,4,2,3,3,5,4,0,no notes,
2,B146,3,B146_row-30_rep-3_W,11,96,112,115,19,34.29,66.802,551.7,1,164.7,29.8531810766721,98.3,52,25.6,1.44,5,4,4,2,3,4,4,4,0,no notes,
0,B147,1,F07_row-1_rep-GBS1_E,6,98,108,114,16,30.988,72.136,697.4,1,151.5,21.7235445942071,77.3,44.3,27,1.44,5,4,4,4,4,4,5,4,0,some irregular heading,
1,B147,1,B147_row-5_rep-1_W,12,122,139,141,19,34.544,73.914,895.7,0,177.4,19.8057385285252,80.8,41.4,32.3,1.72,5,4,5,4,4,5,5,5,0,some irregular heading,
1,B147,2,B147_row-8_rep-2_E,10,123,141,155,32,35.052,77.47,672.8,5,149.4,22.205707491082,62.4,30.2,20,1.34,4,3,5,3,3,4,3,3,0,some irregular heading,
1,B147,3,B147_row-16_rep-3_E,9,130,147,150,20,35.306,78.74,1097.1,5,212.1,19.3327864369702,98.4,3.4,23.3,1.14,5,4,4,4,3,4,5,4,0,some irregular heading,
2,B147,1,B147_row-21_rep-1_W,10,117,141,148,31,36.322,59.69,770.5,2,148.4,19.2602206359507,72.1,34.4,21.1,1.26,5,5,4,3,4,5,5,5,0,some irregular heading,
2,B147,2,B147_row-27_rep-2_E,10,112,133,150,38,41.402,66.548,1096.6,3,201.2,18.3476199161043,83.8,36.2,34.7,1.34,5,5,5,3,4,4,5,4,0,some irregular heading,irregular heading and flowering 
2,B147,3,B147_row-29_rep-3_W,10,114,142,151,37,30.734,80.01,804.7,0,149.2,18.5410712066609,81.5,45,20.6,1.28,5,4,5,4,4,4,5,4,0,some irregular heading,
0,B148,1,F08_row-1_rep-GBS1_E,5,67,86,90,23,38.1,61.976,755.8,1,158.6,20.9843874040752,86.6,36.1,21.4,1.24,5,4,5,3,3,4,4,4,0,no notes,
1,B148,1,B148_row-5_rep-1_W,11,97,115,119,22,34.29,77.216,857.3,0,184.4,21.5093899451767,83,40.7,31.2,1.52,5,4,5,3,4,4,4,4,0,no notes,
1,B148,2,B148_row-12_rep-2_E,10,107,127,130,23,37.084,81.28,499.5,2,114.9,23.003003003003,69.4,24.9,8.4,1.36,5,4,5,3,3,3,4,2,0,no notes,missing plants? maybe wrong plot? 
1,B148,3,B148_row-18_rep-3_W,11,104,124,128,24,30.48,78.74,861.8,0,192.6,22.3485727546995,90.2,42,34.5,1.3,5,4,5,3,3,5,5,5,0,no notes,
2,B148,1,B148_row-21_rep-1_W,8,90,107,112,22,37.592,66.548,491.3,3,115.2,23.447995115001,57,25.1,19.1,1.62,5,4,5,2,2,4,5,3,0,no notes,
2,B148,2,B148_row-28_rep-2_E,11,89,103,109,20,51.816,74.676,271.7,0,67.7,24.9171880750828,50.6,22.8,14.4,1.56,5,4,5,3,3,4,4,4,0,no notes,
2,B148,3,B148_row-32_rep-3_E,10,89,101,105,16,54.864,76.454,421.4,2,102.2,24.2524916943522,59,32.6,21.6,1.58,5,5,5,2,3,4,5,4,0,no notes,
0,B150,1,F10_row-1_rep-GBS1_E,5,67,102,110,43,46.736,82.55,843,17,200,23.7247924080664,91.3,38.1,23.8,1.56,5,4,5,2,3,3,4,3,0,some stunting,
1,B150,1,B150_row-5_rep-1_W,12,114,138,141,27,49.53,81.788,601.2,0,193.4,32.168995342648,80.2,24.4,23.7,1.08,4,4,5,2,4,3,4,3,0,some stunting,
1,B150,2,B150_row-13_rep-2_W,12,118,140,148,30,46.736,91.44,650.6,7,206.7,31.7706732247156,87.1,29.4,15,1.54,5,5,4,1,4,3,5,4,0,some stunting,
1,B150,3,B150_row-17_rep-3_W,12,123,129,143,20,37.846,96.774,533.3,0,174.4,32.7020438777424,76.6,33.1,24.5,1.5,5,5,4,1,4,4,5,4,0,some stunting,
2,B150,1,B150_row-21_rep-1_W,10,108,125,144,36,54.61,92.202,272.9,0,135.8,49.7618175155735,60,28.9,17.7,1.08,5,4,4,2,4,4,5,4,0,some stunting,
2,B150,2,B150_row-27_rep-2_E,9,120,147,152,32,44.45,69.088,242.1,0,82.8,34.2007434944238,49.5,27.7,15.3,1.3,5,5,3,2,4,3,4,3,0,some stunting,slow or stunted? 
2,B150,3,B150_row-32_rep-3_E,10,107,127,139,32,37.592,81.28,409.9,0,118.1,28.8119053427665,73.4,23.8,13.8,1.24,5,4,4,2,3,3,4,4,0,some stunting,
0,B151,1,F11_row-1_rep-GBS1_E,6,84,105,108,24,40.64,65.786,757.3,0,157,20.731546282847,74.4,43.5,32.2,1.54,5,4,4,2,4,4,5,4,0,no notes,
1,B151,1,B151_row-5_rep-1_W,11,112,133,137,25,39.37,75.184,821,0,136.2,16.5895249695493,63,31.5,23.6,1.28,5,5,5,3,4,4,5,4,0,no notes,
1,B151,2,B151_row-14_rep-2_W,11,125,133,141,16,36.068,70.612,388.4,0,91.7,23.6096807415036,49.8,25.8,18.3,1.54,5,5,4,3,4,4,5,4,0,no notes,
1,B151,3,B151_row-17_rep-3_W,12,117,127,132,15,36.83,60.198,571.7,1,127.1,22.2319398285814,64,34.2,27.2,1.5,5,5,4,2,4,3,5,4,0,no notes,
2,B151,1,B151_row-21_rep-1_W,10,108,119,126,18,34.036,62.484,866,0,249.6,28.8221709006928,103.2,52.4,26.3,1.4,5,5,4,2,4,4,5,5,0,no notes,
2,B151,2,B151_row-25_rep-2_W,9,107,126,136,29,28.702,70.104,586.1,0,162.6,27.742706022863,79.5,36.3,23.1,1.2,5,5,4,2,4,4,5,4,0,no notes,
