"","gbs","short.name","geno","class","cross.type","c","N109","good.geno","good.pheno","good.photo","gps","HT","WD","HE","LT","BM","HM","HI","BS","BU","HC","HD","CL","RR","BR","HS","HU","HR","OQ","FC","MT","FF","F50","MF50","Name","SOURCE","PI","release","maturity","Lat","Long","Calabrese.F1","Violet.Caul","Calabrese.LR","Sprouting.Broccoli","subpop","groupCol","PC1","PC2","PC3","PC4","PC5"
"93","B211_HKT723_C11_Gianfranco_Fuscello_Spiagariello_Lisco_OP","B211.Gianfranco.Fuscello.Spiagariello.Lisco","B211","italica","LR",",","y","y","s","y","n",37.973,85.5345,4.33333333333333,42,512.35,20.95,4.24089320643037,1.81,2,2,16.05,9.5,5.45,2.33333333333333,3.33333333333333,2,2.5,1,1,171.666666666667,NA,NA,NA,"Gianfranco Fuscello Spiagariello Lisco","Franchi/SoI","",NA,"unk",NA,NA,8e-06,8e-06,8e-06,0.999976,"Sprouting.Broccoli","#e7298a",-25.766005,20.242683,10.00867,10.528465,14.288102
"94","B212_HKT723_C12_Cavolo_Broccolo_Spigariello_OP","B212.Cavolo.Broccolo.Spigariello","B212","italica","LR",",","y","y","s","y","n",NA,NA,4.5,39.5,375.15,18.8,6.15933523099647,2.3525,2,1.5,25.15,17.1,6.5,2.5,2.5,2.5,3,1,1,140.5,149,NA,NA,"Cavolo Broccolo Spigariello","Franchi/SoI","",NA,"unk",NA,NA,8e-06,8e-06,8e-06,0.999976,"Sprouting.Broccoli","#e7298a",-25.326057,20.683544,10.161459,9.821952,14.971049
"95","B213_HKT723_D1_Atlantis_F1","B213.Atlantis","B213","italica","F1",",","y","y","y","y","n",86.4446666666667,56.388,3.16666666666667,7.66666666666667,525.083333333333,79.6,15.6408776598213,1.83666666666667,3.33333333333333,2.16666666666667,55.4666666666667,27.8166666666667,19.65,4.66666666666667,2.16666666666667,2.66666666666667,3.83333333333333,2.66666666666667,0,91.1666666666667,102.166666666667,107.833333333333,16.6666666666667,"Atlantis","Johnnys","",2014,"unk",NA,NA,0.588111,0.09693,0.222315,0.092643,"Calabrese.F1","#1b9e77",1.3714794,-0.52821755,-3.5178623,-3.9014707,7.995794
"96","B214_HKT723_D2_Athlete_F1","B214.Athlete","B214","italica","F1",",","y","y","y","y","n",49.911,74.676,2.83333333333333,2.16666666666667,818.833333333333,178.733333333333,22.0461652093238,1.1,4.16666666666667,4.83333333333333,70.6833333333333,31.55,21.1666666666667,4.66666666666667,3.83333333333333,3.5,4,3.5,0,132.666666666667,149.75,172.25,38.75,"Athlete","NE seed","",NA,"unk",NA,NA,0.999976,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",15.666955,-6.7017255,8.405246,6.7290297,-3.6024776
"97","B215_HKT723_D3_Monflor_F1","B215.Monflor","B215","italica","F1",",","y","y","y","y","n",44.2383333333333,72.009,4,0.5,585.233333333333,78.5,13.8082889014998,1.63833333333333,4.5,2.66666666666667,70.75,29.2,17.7333333333333,4.66666666666667,1.83333333333333,2.66666666666667,3.83333333333333,3.16666666666667,0,92,106.5,109.833333333333,17.8333333333333,"Monflor","Syngenta","",2013,"unk",NA,NA,0.758539,8e-06,0.241445,8e-06,"Calabrese.F1","#1b9e77",9.86677,-0.34615827,-0.9486017,-4.5105023,3.8828075
"98","B216_HKT723_D4_Burgundy_F1","B216.Burgundy","B216","unk","F1",",","y","y","y","y","n",43.688,74.168,4,2.83333333333333,587.516666666667,58.9,10.2360145386643,1.09666666666667,4.16666666666667,1.5,40.3,14.5833333333333,13.2166666666667,2.33333333333333,2.33333333333333,1.83333333333333,NA,1.5,0,103.833333333333,120.166666666667,126.833333333333,23,"Burgundy","Johnnys","",2017,"unk",NA,NA,0.316093,0.5668,8e-06,0.117098,"Violet.Caul","#7570b3",-16.331549,-13.211906,0.3597851,8.07658,0.7720802
"99","B217_HKT723_E7_Millenium_F1","B217.Millenium","B217","italica","F1",",","y","y","y","y","n",56.0493333333333,72.0936666666667,2,0.166666666666667,554.45,152.483333333333,27.9532287789656,1.23333333333333,4.5,4.5,77,33.4,25.5833333333333,4.83333333333333,4.66666666666667,4,4.5,3.66666666666667,0,117.166666666667,135.333333333333,144,26.8333333333333,"Millenium","Sakata","",NA,"unk",NA,NA,0.999976,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",15.213436,-7.8055916,8.233648,2.8906343,1.0139892
"100","B218_HKT721_A12_Ironman_F1","B218.Ironman","B218","italica","F1",",","y","y","y","y","n",50.292,76.073,3.33333333333333,1.83333333333333,504.666666666667,124.316666666667,24.6221370411271,1.31333333333333,4.16666666666667,4.83333333333333,76.7166666666667,37.5833333333333,19.95,4,2.66666666666667,2.83333333333333,3.83333333333333,3.33333333333333,0,114.333333333333,128.833333333333,139.166666666667,24.8333333333333,"Ironman","Seminis/Vanden Bosch/Royal Sluis","",2004,"unk",NA,NA,0.999976,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",15.239348,-7.133614,8.108295,2.5333447,-0.4982272
"101","B219_HKT721_G5_Emerald_Jewel_F1","B219.Emerald.Jewel","B219","italica","F1",",","y","y","y","y","n",37.592,77.4276666666667,2.16666666666667,1.83333333333333,532.7,155.916666666667,29.3990790633782,0.983333333333333,2.83333333333333,4.66666666666667,79.2166666666667,33.7833333333333,21.0666666666667,4.5,2.66666666666667,2.66666666666667,3.16666666666667,2.83333333333333,0,118,135.666666666667,145.166666666667,27.1666666666667,"Emerald Jewel","Sakata","",2012,"unk",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",17.85723,-4.3529396,8.088378,1.7774447,0.7853935
"102","B221_HKT721_G8_Heritage_F1","B221.Heritage","B221","italica","F1",",","y","y","y","y","n",37.211,70.8236666666667,3.33333333333333,0.166666666666667,782.5,170.283333333333,21.948440284721,1.19,3.33333333333333,4.5,78.7,36.1333333333333,19.1,3.83333333333333,2.83333333333333,2.83333333333333,3.16666666666667,2.83333333333333,0,127.166666666667,146,159.333333333333,32.1666666666667,"Heritage","Seminis/Vanden Bosch/Royal Sluis","",2000,"unk",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",16.120325,-6.2735553,8.272796,8.791443,-6.783335
"103","B222_HKT723_B9_Baccus_F1","B222.Baccus","B222","italica","F1",",","y","y","y","y","n",43.307,77.597,2.83333333333333,1.6,388.32,78.14,20.1380924850878,2.024,3.4,3.4,66.3,32.18,15.72,4.6,2,3.2,3.8,3,0,86,95.3333333333333,103,17,"Baccus","Asgrow","",1986,"unk",NA,NA,0.761001,8e-06,0.238983,8e-06,"Calabrese.F1","#1b9e77",10.512411,3.209139,-3.1368687,-12.604099,9.833277
"104","B223_HKT723_C7_Sabre_F1","B223.Sabre","B223","italica","F1",",","y","y","y","y","n",36.7792,72.2376,4.16666666666667,5,724.433333333333,92.9833333333333,13.1633820217719,1.69666666666667,3.83333333333333,4,62.8,28.05,18.85,4.83333333333333,3.16666666666667,3.66666666666667,4.33333333333333,3.83333333333333,0,105.833333333333,120,129.166666666667,23.3333333333333,"Sabre","Asgrow","",1992,"unk",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",16.13038,-1.8677379,6.2554398,2.5688074,-1.759218
"105","B224_HKT723_C2_Saga_F1","B224.Saga","B224","italica","F1",",","y","y","y","y","n",49.6993333333333,79.5866666666667,3,10.6666666666667,599.8,99.4333333333333,17.3985330669197,1.28,3.33333333333333,4,60.6,27.5,12.9333333333333,3.66666666666667,2,2,2.66666666666667,1.66666666666667,0,107.666666666667,120,124,17,"Saga","Johnnys","",NA,"unk",NA,NA,0.977223,8e-06,0.022761,8e-06,"Calabrese.F1","#1b9e77",13.055046,1.2095537,-0.038361248,-5.8646097,4.990645
"106","B225_HKT723_D6_Coronado_Crown_F1","B225.Coronado.Crown","B225","italica","F1",",","y","y","y","y","n",42.8286333333333,70.1886666666667,3.66666666666667,7.33333333333333,667.366666666667,125.583333333333,19.2467382909841,1.54666666666667,4.33333333333333,4.66666666666667,65.5166666666667,30.2333333333333,25.3166666666667,4.5,3.33333333333333,4,4.5,3.66666666666667,0,108.666666666667,123.333333333333,129.333333333333,20.6666666666667,"Coronado Crown","Seminis/Vanden Bosch/Royal Sluis","",2000,"unk",NA,NA,0.938552,8e-06,0.061432,8e-06,"Calabrese.F1","#1b9e77",12.553461,-3.7793977,3.5889878,6.910701,-5.346202
"107","B226_HKT723_E4_General_F1","B226.General","B226","italica","F1",",","y","y","y","y","n",41.0633333333333,68.199,2.66666666666667,5.33333333333333,509.333333333333,135.683333333333,27.2598129274031,1.76666666666667,1.66666666666667,3.83333333333333,69.15,33.6833333333333,19.9,2.5,2.33333333333333,2.16666666666667,2,1.83333333333333,0,101.166666666667,111.833333333333,116.833333333333,15.6666666666667,"General","Seminis/Vanden Bosch/Royal Sluis","",1999,"unk",NA,NA,0.968612,8e-06,0.031372,8e-06,"Calabrese.F1","#1b9e77",12.511838,-1.9497242,1.8877975,-2.069752,0.851121
"108","B227_HKT723_E5_Asteroid_F1","B227.Asteroid","B227","italica","F1",",","y","y","y","y","n",37.5496666666667,65.3626666666667,3.33333333333333,0,601.68,130.88,21.6365809189585,1.632,3,4.5,74.4,32.22,20.34,4.66666666666667,2.66666666666667,3.5,3.83333333333333,3.33333333333333,0,104.5,124.666666666667,129.166666666667,24.6666666666667,"Asteroid","Harris Moran","",2015,"unk",NA,NA,0.999976,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",14.979081,-4.1568975,5.482948,1.7411058,-0.93557304
"109","B261_HKT723_C1_De_Cicco_OP","B261.DeCicco","B261","italica","LR",",","y","y","y","y","n",65.913,70.0616666666667,4.16666666666667,10.3333333333333,575.366666666667,31.9666666666667,6.00163643195121,2.25666666666667,2.83333333333333,2.33333333333333,37.7666666666667,18.5833333333333,14.1666666666667,3.66666666666667,2.5,2.83333333333333,3.66666666666667,2,0,112.166666666667,114.833333333333,140.5,28.3333333333333,"De Cicco","Johnnys","",1890,"early",NA,NA,0.475701,8e-06,0.524282,8e-06,"Calabrese.LR","#d95f02",9.667963,5.8530893,-7.152744,-5.0321712,0.84059626
